name,id,description,nutrition,ingredients,time,diet,type
samosa,1,"A samosa or singara is a fried South Asian pastry with a savoury filling, including ingredients such as spiced potatoes, onions, and peas. It may take different forms, including triangular, cone, or half-moon shapes, depending on the region.","308,32,17.9,4.7","potato,flour,garlic,onion,pea,cumin,masala",lunch,vegetarian,alone
aato bhat(maize rice),2,"Makai or maize is one of the most popular food items in Nepal and Nepali households. Grown in almost all the regions of Nepal, the popularity of maize and its cuisines are not only limited to one part of the country but is spread around many. There are many varieties of cuisines to be made by maize such as grilled maize, boiled maize, fried maize, corn chili, makai ko roti, etc. and one among them is makai ko bhat (maize rice).For the purpose of making rice, the maize is ground into tiny grains that resembles the kanika of rice grains. Makai ko bhat is popular dish to be prepared during the Ekadashi brata (fast). It is light, yet, it could gratify hunger and on the day when rice grains are not allowed to be eaten, makai ko bhat is cooked in the Nepali kitchen.Cooking makai ko bhat is easy and you do not even require many ingredients.","307,76,1,6.7","maize,water","breakfast,lunch,dinner",vegetarian,staple
dal bhat,3,"Dal bhat is a traditional meal from the Indian subcontinent, popular in many areas of Nepal, India, Pakistan, Bangladesh. It consists of steamed rice and a cooked lentil or other pulses stew called dal. It is a staple food in these countries. Bhat or chawal means ""boiled rice"" in a number of Indo-Aryan languages.","367,66.8,2.9,4.2","rice,lentil,water,garlic,oil,tomatoes","breakfast,lunch,dinner",vegetarian,staple
veg chowmein,4,"A Chinese stir-fried noodle dish which is now a popular streetside food dish across the globe, specifically in Asia. Being a popular dish across countries, Chow mein is made in different ways with many different variations in different places, this one here is the quickest and easiest chowmein recipe, made under 30 minutes. Serve as a brunch or breakfast that kids would just love. You can also serve this as an evening snack or a side for an oriental dinner.","480,57,24,8","noodles,onion,water,salt,oil,ginger,salt,masala,pepper",lunch,vegetarian,alone
veg momo,5,"Momo is a type of steamed filled dumpling, with origins from Tibet. Momo is native to Tibet, Nepal as well as Indian Himalayan Region of Ladakh, Sikkim, Assam, and Arunachal Pradesh, Himachal Pradesh, Uttarakhand, and Darjeeling. It is popular across a wider region of the Indian subcontinent.","250,48,2.5,9","flour,onion,garlic,coriander,oil,cabbage,potato,carrot,mushroom,paneer",lunch,vegetarian,alone
chicken momo,6,"Momo is a type of dumpling that originated in Tibet and is now popular in Nepal, Bhutan, and other regions of the Himalayas. It is made by wrapping seasoned minced meat (often beef or chicken) or vegetables in a thin dough wrapper, which is then steamed or fried. The filling can be spiced with a variety of herbs and spices, and the dumplings are often served with a spicy dipping sauce made from tomato, chili, and garlic.","219,28.2,8.7,8.1","flour,onion,garlic,coriander,oil,cabbage,chicken,fat,tomato,mushroom,paneer",lunch,non-vegetarian,alone
buff momo,7,"Buff momo is a type of momo that is made with minced buffalo meat as the filling. It is a popular variation of momo that is commonly found in Nepal, where buff momo is considered a specialty. The minced buffalo meat is usually mixed with spices such as ginger, garlic, and cumin, and then wrapped in a thin dough wrapper before being steamed or fried. ","225,28.2,8.7,9.1","flour,onion,garlic,coriander,oil,cabbage,buff,fat,mushroom,paneer",lunch,non-vegetarian,alone
chicken chowmein,8,"Chicken chow mein is a popular Chinese dish made with stir-fried noodles, vegetables, and chicken. The dish typically starts with wheat-based noodles that are boiled and then stir-fried with a combination of vegetables such as onions, bell peppers, carrots, and cabbage, along with diced chicken. The dish is seasoned with a combination of soy sauce, oyster sauce, and other seasonings to give it a savory, umami flavor. Chicken chow mein is a versatile dish that can be customized with different vegetables, meats, or seafood, making it a popular choice in Chinese cuisine both in China and around the world. It is often served as a main course in Chinese restaurants and can also be found as a street food in many parts of Asia.","120,18,2,7","noodles,onion,water,salt,oil,ginger,salt,masala,pepper,chicken",lunch,non-vegetarian,alone
chapati,9,"Chapati is a type of flatbread that is commonly consumed in South Asia, particularly in India, Pakistan, Bangladesh, and Nepal. It is made by mixing whole wheat flour with water to form a dough, which is then divided into small portions and rolled out into thin circles. The chapatis are cooked on a hot griddle or tawa until they puff up and develop brown spots on both sides.","120,17,5,3","wheatflour,water","breakfast,lunch,dinner",vegetarian,staple
paratha,10,"Paratha is a type of flatbread that is commonly consumed in the Indian subcontinent. It is made by rolling dough into a circular shape, and then folding and layering it repeatedly with ghee or oil before cooking it on a hot griddle or tawa. The result is a crispy, flaky bread that is often eaten for breakfast or as a snack, and can be served with a variety of accompaniments such as yogurt, pickles, or curry. Parathas can also be stuffed with different ingredients like mashed potatoes, vegetables, or paneer, and are then called stuffed parathas. They are a popular and versatile food item in South Asian cuisine.","286,39,10,4","wheatflour,salt,oil,ghee,water","breakfast,lunch,dinner",vegetarian,staple
kodo(millet) ko roti,11,"Millet roti is a type of flatbread made from millet flour that is commonly consumed in India. The dough for the roti is made by mixing millet flour with water and then kneading it into a smooth dough. The dough is then divided into small portions, which are rolled out into thin circles and cooked on a hot griddle or tawa. Millet roti is a nutritious and gluten-free alternative to wheat-based roti and is often served with a variety of Indian curries or chutneys. It is a staple food in many regions of India, particularly in the southern states where millet is a common crop. Millet roti is easy to make and is a healthy and tasty addition to any meal.","119,19,3.8,3.3","milletflour,water","breakfast,lunch,dinner",vegetarian,staple
dhedo,12,"Dhedo is a traditional Nepalese and Bhutanese food made from buckwheat flour or maize flour. The flour is mixed with water to form a thick and dough-like consistency, which is then cooked over a low flame until it becomes a sticky and smooth mixture. Dhedo is often served with a variety of side dishes such as meat or vegetable curries, pickles, or chutneys. It is a staple food in many rural areas of Nepal and Bhutan and is often eaten with the fingers, by rolling small portions of the dough into balls and using it to scoop up the side dishes. Dhedo is a simple and hearty dish that provides a good source of carbohydrates and is an important part of the local cuisine.","455,95,1.2,13","buckwheatflour,maizeflour,water","breakfast,lunch,dinner",vegetarian,staple
roti,13,"Roti is a type of flatbread that is commonly consumed in many parts of South Asia, particularly in India, Pakistan, Bangladesh, and Sri Lanka. It is made by mixing whole wheat flour with water to form a dough, which is then divided into small portions and rolled out into thin circles. The rotis are cooked on a hot griddle or tawa until they puff up and develop brown spots on both sides. Rotis are a staple food in many households in South Asia and are often served as an accompaniment to curries, dal, or vegetables. They are typically eaten by tearing off a piece of the bread and using it to scoop up the other dishes on the plate. Rotis are a versatile and nutritious food, as they are made with whole wheat flour and contain fiber, protein, and other important nutrients.","120,18.5,3.7,3.1","wholewheatflour,water,ghee","breakfast,lunch,dinner",vegetarian,staple
naan,14,"Naan is a type of flatbread that is a popular staple food in South Asian and Middle Eastern cuisines. It is made from white flour, water, and yeast, and is typically cooked in a clay oven or tandoor. Naan is characterized by its soft and fluffy texture, and it often has a slightly charred or blistered exterior from being cooked in the tandoor. Naan can be served plain or flavored with a variety of ingredients such as garlic, butter, or herbs. It is often used to scoop up curries or other dishes with sauce and is an essential part of many South Asian and Middle Eastern meals. Naan is a high-carbohydrate food that provides energy, but it is not particularly high in other nutrients and should be consumed in moderation as part of a balanced diet.","190,30,5,5","flour,water,yeast,garlic,coriander,ghee","breakfast,lunch,dinner",vegetarian,staple
chiura(beaten rice),15,"Chiura, also known as beaten rice or flattened rice, is a popular snack and breakfast food in Nepal and other parts of South Asia. It is made by parboiling rice, then flattening and drying it to create thin, flattened grains. The flattened rice grains are then lightly fried in oil and mixed with various ingredients such as roasted peanuts, onions, and spices to create a savory snack. Chiura is also commonly used to make a breakfast dish known as chiura with curd, which consists of mixing the flattened rice with yogurt and sugar. Chiura is a gluten-free and low-fat food that is rich in carbohydrates and provides a good source of energy.","100,20,1,3","rice,onion,spices,oil","breakfast,lunch,dinner",vegetarian,staple
